latitude,longitude,name,status,type,colour,DNR,EIGANDI,DAGS
64.11282646674107,-21.805260904100148,85550,,Götuljós,blue,202,Reykjavíkurborg - eignasjóður,2023/02/16
64.09557365675472,-21.847745857949594,21324,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1991/12/31
64.0950377730207,-21.846415170897437,21337,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1991/12/31
64.09474012435759,-21.846306822122266,21396,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1991/12/31
64.09481059188496,-21.844934743728682,21343,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1991/12/31
64.0950630829593,-21.845895423595774,21332,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1991/12/31
64.09741908856476,-21.84886602815304,21301,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1991/12/31
64.12684885867357,-21.771359331586527,85192,,Tengill,green,801,Reykjavíkurborg - eignasjóður,2010/03/04
64.12927641632089,-21.727636110842642,73078,,Götuljós,blue,1198,Reykjavíkurborg - eignasjóður,2009/06/11
64.0951243180285,-21.847632863958847,21326,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1991/12/31
64.12952818358858,-21.727827187896846,73017,,Götuljós,blue,1198,Reykjavíkurborg - eignasjóður,2009/06/11
64.1296975380666,-21.727667972308105,73018,,Götuljós,blue,1198,Reykjavíkurborg - eignasjóður,2009/06/11
64.12999865797066,-21.72790767457295,78572,,Götuljós,blue,1198,Reykjavíkurborg - eignasjóður,2015/12/15
64.11145404950788,-21.801211095645193,85559,,Götuljós,blue,202,Reykjavíkurborg - eignasjóður,2023/02/16
64.11279207691005,-21.80532108161874,85570,,Götuljós,blue,202,Reykjavíkurborg - eignasjóður,2023/02/16
64.11045937453514,-21.799163299845766,85571,,Götuljós,blue,202,Reykjavíkurborg - eignasjóður,2023/02/16
64.11468629385516,-21.815956239999842,85547,,Götuljós,blue,605,Reykjavíkurborg - eignasjóður,2023/02/16
63.779120139547885,-29.17344408004959,85543,,Götuljós,blue,605,Reykjavíkurborg - eignasjóður,2023/02/16
64.11130568262195,-21.80099067058454,85548,,Götuljós,blue,202,Reykjavíkurborg - eignasjóður,2023/02/16
63.775929973422535,-29.172264197762665,85563,,Götuljós,blue,566,Veitur,2023/02/16
64.1101473715709,-21.79858334652494,85531,,Götuljós,blue,566,Veitur,2023/02/16
64.14669717334881,-21.956020109897548,1751,,Götuljós,blue,41,Vegagerðin                      ,1995/11/01
64.14660905402485,-21.955362539514706,1704,,Götuljós,blue,41,Vegagerðin                      ,1995/11/01
